time,portfolio_value,cash,positions
2025-05-02 04:00:00+00:00,164207.27797862873,88137.40807601795,10
2025-05-07 08:00:00+00:00,163559.7507417656,87097.78914098511,10
2025-05-12 12:00:00+00:00,167286.44700850308,86665.48675264178,10
2025-05-16 04:00:00+00:00,167244.9257348901,86665.48675264178,10
2025-05-22 08:00:00+00:00,163391.2354111024,84935.71548479279,10
2025-05-27 12:00:00+00:00,159948.93786345728,84961.8083068014,10
2025-06-02 04:00:00+00:00,158164.10370672852,85382.67416323336,10
2025-06-05 08:00:00+00:00,161677.79721641785,82226.07647514589,10
2025-06-13 04:00:00+00:00,158420.08399685533,83848.9434805742,10
2025-06-18 08:00:00+00:00,157708.6532307926,84999.22377598914,10
2025-06-23 12:00:00+00:00,158907.03878595313,84864.00838090858,10
2025-06-27 04:00:00+00:00,160319.13079962594,82617.69109854563,10
